timestamp,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,lat,lon
2026-09-10 11:00:00,0.416,0.396,0.418,27.33,88.61
2026-09-10 12:00:00,0.417,0.397,0.418,27.33,88.61
2026-09-10 13:00:00,0.414,0.397,0.418,27.33,88.61
2026-09-10 14:00:00,0.412,0.397,0.417,27.33,88.61
2026-09-10 15:00:00,0.41,0.398,0.417,27.33,88.61
2026-09-10 16:00:00,0.409,0.398,0.417,27.33,88.61
2026-09-10 17:00:00,0.392,0.394,0.417,27.33,88.61
2026-09-10 18:00:00,0.397,0.394,0.417,27.33,88.61
2026-09-10 19:00:00,0.414,0.394,0.417,27.33,88.61
2026-09-10 20:00:00,0.424,0.396,0.416,27.33,88.61
2026-09-10 21:00:00,0.43,0.399,0.416,27.33,88.61
2026-09-10 22:00:00,0.424,0.401,0.416,27.33,88.61
2026-09-10 23:00:00,0.42,0.403,0.416,27.33,88.61
